,Average Score,Standard Deviation
0,1963.971,1086.6234
1,1984.8092,1081.5852
2,2053.88,1093.7257
3,2187.2932,1095.2286
4,1968.6979,1053.294
5,1840.0352,929.5287
6,1875.2076,1005.7589
7,1894.12,1005.9149
8,1937.6031,1070.5889
9,1701.4886,919.6136
10,1806.5745,985.69916
11,1953.3483,1060.3444
12,1845.803,954.3829
13,1831.574,1036.3396
14,1922.0413,1056.8575
15,2032.9471,1115.6129
16,1817.1102,1049.1951
17,1751.7906,933.2708
18,1922.7987,902.4376
19,1759.2073,1002.6951
20,1723.5739,939.3046
21,1711.2911,879.22723
22,1606.2334,853.9824
23,1666.0182,843.9779
24,1584.8134,844.9286
25,1570.6333,853.39923
26,1541.2323,817.6058
27,1624.287,881.8252
28,1532.5315,857.3997
29,1682.419,886.1474
30,1448.8883,742.15625
31,1515.2662,793.87054
32,1486.6846,801.7111
33,1595.4045,856.9856
34,1705.4518,903.0922
35,1823.117,926.65515
36,1895.8407,968.74603
37,1761.1615,932.31726
38,1564.3162,829.79846
39,1575.7699,859.4175
40,1589.4346,883.9432
41,2046.6371,1099.8928
42,1784.812,894.21204
43,1638.3363,878.87006
44,1724.718,1004.4755
45,1574.8451,926.55927
46,1592.3458,820.9126
47,1520.8566,739.03186
48,1862.269,975.8478
49,1788.8044,1022.3004
50,1946.1766,1128.1643
51,2021.8082,1135.6862
52,1924.0587,936.6901
53,1987.424,1060.693
54,1978.3812,1089.4673
55,1932.6149,1131.5831
56,1973.1417,1140.9763
57,1933.8934,1098.1237
58,2051.597,1121.3215
59,2044.8678,1114.7499
60,1719.8033,966.0994
61,1808.2021,918.96716
62,1835.9113,977.561
63,1886.0077,1021.55585
64,1869.6161,1072.3146
65,1828.7084,1093.5258
66,1840.3807,1061.7987
67,1912.8765,1107.3636
68,1921.844,1109.3817
69,1910.7258,1072.5156
70,1934.6086,1121.2717
71,1935.257,1133.4114
72,1956.4332,1146.311
73,1997.2454,1133.3325
74,1964.4883,1121.752
75,1903.903,1060.4728
76,1908.7179,1085.853
77,2030.2894,1153.2217
78,1988.2933,1155.5857
79,1997.737,1119.3911
80,1943.672,1111.9642
81,1966.5039,1153.9327
82,1930.8378,1121.9343
83,2025.7344,1147.1492
84,2021.6675,1160.674
85,2017.9657,1151.6862
86,1978.5157,1143.6864
87,2014.3442,1146.1626
88,1926.3494,1092.6614
89,2030.8134,1153.9575
90,1926.0342,1026.1193
91,2040.237,1078.2009
92,1959.7732,1086.861
93,1969.2976,1022.41437
94,2022.7756,1052.6492
95,2033.2534,1072.8557
96,1998.6327,1069.0032
97,1970.7719,1061.2762
98,1951.2618,1061.8815
99,1824.4308,1029.8873
100,1667.3379,883.9731
101,1651.8633,874.59283
102,1652.4043,868.5656
103,1662.6687,868.19055
104,1653.5762,867.08826
105,1665.6761,868.7246
106,1662.0116,864.4341
107,1674.7654,870.3388
108,1683.5814,878.17096
109,1683.9084,880.2659
110,1681.2876,876.28406
111,1688.8097,882.5805
112,1679.6646,878.2555
113,1680.4414,874.96356
114,1678.7839,868.917
115,1676.6906,872.0106
116,1673.3008,867.965
117,1691.9055,878.8331
118,1692.7523,881.36273
119,1682.4224,874.27826
120,1686.345,878.2444
121,1691.1753,880.75995
122,1684.9292,874.9678
123,1684.2886,874.3195
124,1670.8053,871.65454
125,1676.1475,871.06854
126,1690.3971,884.1538
127,1688.0701,884.02423
128,1691.179,868.80383
129,1691.9385,878.8171
130,1687.6185,876.0622
131,1696.9719,875.5334
132,1680.9176,876.18695
133,1670.1635,866.8199
134,1687.6653,875.916
135,1681.2942,868.09247
136,1674.014,868.90985
137,1687.828,879.9518
138,1672.2175,877.6017
139,1689.3002,876.6267
140,1671.0411,877.9588
141,1678.0732,873.3501
142,1687.4202,875.10394
143,1689.7004,882.1201
144,1677.6218,870.264
145,1698.1084,877.0231
146,1704.9264,881.8446
147,1663.5907,867.00226
148,1681.6442,879.0535
149,1690.8735,886.0692
150,1667.6516,868.4193
151,1694.7848,876.09827
152,1672.5553,878.7017
153,1689.6686,876.937
154,1679.65,872.8018
155,1688.7142,882.22876
156,1685.2832,876.9875
157,1689.89,876.2915
158,1678.7756,874.8247
159,1684.7664,884.7991
160,1694.9475,876.4022
161,1694.5371,880.8132
162,1661.9501,865.6751
163,1690.1814,877.00745
164,1667.7844,868.9575
165,1688.9136,875.8117
166,1683.293,873.8004
167,1691.7936,871.49603
168,1679.4996,877.47644
169,1662.353,878.1571
170,1696.8009,880.1895
171,1692.0665,880.27576
172,1677.2313,877.7377
173,1686.8035,876.899
174,1682.4681,883.2272
175,1695.6412,883.0955
176,1667.744,872.26807
177,1684.4985,873.1417
178,1682.0533,871.56665
179,1693.4559,887.99744
180,1690.2019,881.2112
181,1686.6256,880.5677
182,1688.8834,885.3641
183,1695.2549,873.145
184,1688.5262,870.7865
185,1690.0032,877.09235
186,1685.9811,877.9488
187,1671.2322,867.76636
188,1669.4984,864.99994
189,1677.5448,877.1141
190,1669.6519,878.43274
191,1692.9177,873.6827
192,1678.6387,874.67993
193,1689.6653,870.5469
194,1672.2788,872.72455
195,1676.197,871.90375
196,1693.3323,874.08575
197,1672.0123,875.6929
198,1677.1885,871.7214
199,1702.7509,885.95215
200,1683.2524,882.619
201,1678.3779,868.87067
202,1676.6569,870.37335
203,1688.2828,876.84265
204,1697.0953,877.5342
205,1678.9204,878.687
206,1684.1797,876.73303
207,1666.4409,864.6307
208,1687.2384,880.3433
209,1688.7725,884.268
210,1683.4852,875.42377
211,1680.4921,870.62604
212,1693.879,878.1216
213,1685.2607,872.96747
214,1689.2554,882.8463
215,1680.2277,875.2426
216,1692.5747,887.9395
217,1688.1067,875.2429
218,1666.192,875.1523
219,1680.8082,872.482
220,1675.0492,871.85754
221,1669.9907,869.66547
222,1679.8734,886.9698
223,1686.4884,879.50165
224,1684.1417,874.2286
225,1681.0604,878.3457
226,1671.9647,879.46545
227,1687.8481,881.92725
228,1682.5656,872.5545
229,1677.9645,875.2043
230,1674.4534,872.689
231,1679.6697,871.18115
232,1693.8921,881.11096
233,1666.1187,863.571
234,1661.6521,869.6418
235,1657.0731,861.4611
236,1685.155,875.2845
237,1676.2173,869.56525
238,1671.1699,872.9835
239,1690.5078,875.6881
240,1685.9843,878.7028
241,1691.0304,882.303
242,1686.192,874.86017
243,1689.607,875.21234
244,1676.5398,877.0317
245,1677.2118,868.7296
246,1692.3314,870.2114
247,1684.9661,879.25336
248,1682.282,875.86285
249,1683.4786,877.4905
250,1674.8818,879.51843
251,1685.3553,879.36865
252,1691.5623,877.2137
253,1687.421,880.7417
254,1679.1929,873.6692
255,1685.7587,880.2186
256,1685.2582,879.14
257,1676.2705,873.95447
258,1688.8492,876.3712
259,1692.267,878.5454
260,1699.3168,878.22284
261,1673.9198,876.10236
262,1679.3466,875.90765
263,1689.9791,882.6539
264,1680.0559,872.52686
265,1666.9327,871.666
266,1682.9869,875.3992
267,1680.739,876.8144
268,1679.7107,871.69885
269,1692.3257,883.4577
270,1687.0785,878.2728
271,1690.3239,875.19464
272,1685.8281,877.33057
273,1680.2042,877.4283
274,1696.5242,880.8563
275,1684.74,880.5214
276,1684.7147,878.0227
277,1680.9022,869.65375
278,1685.8108,883.0952
279,1693.0281,883.6766
280,1669.3632,868.27716
281,1676.6877,867.4322
282,1672.0374,872.3502
283,1684.3136,874.83765
284,1696.1848,876.9915
285,1680.5708,875.8385
286,1669.1421,873.9832
287,1678.2892,869.1325
288,1673.8185,872.65027
289,1695.0201,882.4337
290,1686.3529,875.21075
291,1675.5225,880.3479
292,1673.8842,876.5756
293,1692.8414,881.25653
294,1676.7976,865.35
295,1688.1465,871.93085
296,1686.4476,873.7171
297,1685.4569,881.06354
298,1693.0789,875.1012
299,1679.7534,880.7426
300,1672.9163,877.3212
301,1688.8826,869.64355
302,1677.8185,878.8351
303,1678.363,871.3028
304,1665.7711,869.62994
305,1692.857,878.94006
306,1692.9409,868.4702
307,1678.7971,872.3935
308,1685.0016,880.5857
309,1683.9904,882.604
310,1691.9142,879.71344
311,1686.3657,876.8061
312,1681.1793,868.3353
313,1677.216,870.82837
314,1686.3359,875.33734
315,1674.928,880.7329
316,1679.0796,874.46954
317,1662.0199,862.6903
318,1678.23,872.4616
319,1685.0403,870.9445
320,1682.5392,876.4075
321,1679.515,873.9274
322,1678.584,875.11707
323,1690.3735,883.79047
324,1670.2001,861.9675
325,1685.4111,874.63776
326,1681.4893,868.10223
327,1688.4375,869.40845
328,1674.2,872.4157
329,1687.3739,872.54865
330,1676.9619,874.7208
331,1697.4557,884.5765
332,1679.2458,877.246
333,1689.0624,881.74066
334,1677.5305,876.82043
335,1676.5846,878.8266
336,1684.3239,876.05835
337,1689.7246,872.2324
338,1680.7544,878.55804
339,1689.968,878.9659
340,1679.416,868.40704
341,1684.8458,874.0539
342,1695.1875,877.1271
343,1677.6521,873.2985
344,1685.5928,876.62366
345,1675.127,871.01917
346,1684.1536,880.90967
347,1675.0886,871.62134
348,1696.7303,872.5847
349,1684.085,877.76746
350,1681.4445,874.2571
351,1680.327,877.8623
352,1671.2021,874.9796
353,1680.1378,876.24994
354,1666.8812,872.4693
355,1687.6118,876.8138
356,1687.2461,875.8552
357,1685.2008,876.9762
358,1685.0111,876.87616
359,1681.256,868.78424
360,1691.9689,876.36127
361,1684.8751,880.94763
362,1672.8693,879.51105
363,1686.379,880.0602
364,1675.7283,876.5376
365,1689.1565,876.54065
366,1690.0227,877.0396
367,1679.5568,878.10974
368,1689.9246,878.4924
369,1668.6937,871.31934
370,1691.0708,880.96124
371,1688.0541,876.2105
372,1692.5011,879.1666
373,1695.7943,887.1601
374,1676.2565,877.33826
375,1681.8633,875.0338
376,1676.7318,871.5321
377,1689.1608,878.3523
378,1672.9043,866.15936
379,1681.2,873.48254
380,1683.9359,873.0751
381,1691.0841,879.30115
382,1677.7516,868.705
383,1676.9958,871.53265
384,1684.9591,873.7262
385,1686.2454,873.49036
386,1685.692,873.33954
387,1705.3298,879.9435
388,1678.3939,875.7219
389,1686.2668,873.27435
390,1683.7959,873.38153
391,1681.9779,880.30426
392,1672.2688,869.594
393,1692.3982,877.742
394,1689.1788,878.0362
395,1680.5531,873.4104
396,1671.7097,874.30286
397,1681.6262,873.97455
398,1674.4425,874.2214
399,1685.997,880.88513
400,1685.2524,884.6282
401,1677.267,872.3572
402,1681.237,873.8007
403,1683.4954,879.8124
404,1686.8712,882.9024
405,1675.8396,871.9615
406,1680.8108,877.23914
407,1674.6661,866.12933
408,1674.271,872.3118
409,1682.9939,877.7533
410,1685.3849,884.4825
411,1693.2161,877.9921
412,1690.736,879.0266
413,1685.8431,880.02985
414,1682.1172,872.3436
415,1686.48,873.2451
416,1690.6748,878.18317
417,1672.7648,873.4969
418,1680.3158,882.29974
419,1677.44,874.23444
420,1674.9503,875.15576
421,1674.5673,877.15717
422,1672.5696,867.9468
423,1677.2384,866.0398
424,1675.767,876.00616
425,1696.9583,869.715
426,1696.6273,890.0628
427,1677.2173,877.0843
428,1671.5103,868.15466
429,1673.5309,874.6547
430,1676.3065,875.3431
431,1696.0723,879.7566
432,1696.032,880.54065
433,1672.1566,873.0045
434,1665.9163,861.5236
435,1664.0691,870.2201
436,1679.343,865.8642
437,1694.6115,878.4642
438,1674.5306,875.68585
439,1680.0886,873.9374
440,1687.0007,881.1433
441,1681.8159,876.6807
442,1692.2313,882.1616
443,1684.5132,879.05347
444,1686.0804,880.3068
445,1692.9048,882.9686
446,1679.967,882.543
447,1683.7839,874.59827
448,1681.3992,882.1166
449,1690.7402,875.8894
450,1695.9426,876.96204
451,1687.8817,870.97687
452,1677.582,875.9216
453,1681.8754,875.0586
454,1680.3795,885.2252
455,1699.927,880.7126
456,1671.5474,870.2366
457,1686.5227,876.80664
458,1682.9518,870.1627
459,1696.0441,881.5156
460,1691.9126,880.8695
461,1684.9457,880.7367
462,1676.9579,876.3082
463,1688.7281,879.9679
464,1687.4534,870.7643
465,1687.5017,877.3967
466,1675.3827,868.21564
467,1683.3358,875.3999
468,1696.1145,881.99207
469,1690.1881,877.466
470,1688.6915,878.96246
471,1692.9465,883.16583
472,1681.8265,872.1963
473,1678.7319,873.4833
474,1688.6198,878.4834
475,1684.0956,879.3447
476,1681.7731,871.4751
477,1689.9333,877.9924
478,1678.4371,874.1613
479,1695.481,874.8528
480,1679.4529,876.19415
481,1680.4172,878.9942
482,1679.1442,875.492
483,1687.3988,872.1393
484,1680.1614,870.2628
485,1676.0966,874.7315
486,1680.7094,881.7907
487,1674.0604,879.66284
488,1687.3657,877.21985
489,1677.8313,870.70734
490,1694.4421,886.4042
491,1680.6826,879.07635
492,1694.9219,879.9875
493,1693.8889,881.52625
494,1687.6964,879.92004
495,1677.079,870.77606
496,1693.6102,872.1612
497,1679.2317,875.0003
498,1684.2196,877.582
499,1679.6576,872.4271
500,1683.0547,874.9428
501,1684.7369,879.74225
502,1680.2313,874.38794
503,1674.3646,878.42236
504,1681.9945,873.38495
505,1683.6588,870.95276
506,1689.8612,879.44495
507,1687.6014,871.54944
508,1690.6246,886.3392
509,1688.0819,871.34296
510,1695.0809,885.26886
511,1685.7174,878.2151
512,1684.2303,883.51544
513,1676.2272,873.40717
514,1671.2231,875.6957
515,1693.8009,881.5063
516,1686.4408,868.4833
517,1692.2035,877.8632
518,1674.3568,870.32513
519,1674.3121,874.8226
520,1681.2128,874.73883
521,1674.4595,879.5611
522,1688.7549,873.6659
523,1686.1906,878.5274
524,1683.9508,878.53876
525,1690.1129,876.8671
526,1688.9152,874.9176
527,1692.7004,877.7605
528,1676.8175,862.46185
529,1682.8265,881.35266
530,1682.5513,878.0363
531,1684.9814,883.31995
532,1679.0413,875.1913
533,1677.01,876.11053
534,1688.2062,879.6635
535,1679.9712,874.2744
536,1674.5084,880.4274
537,1679.6217,876.317
538,1670.0605,873.53815
539,1686.7814,875.71716
540,1672.7737,870.98425
541,1701.3754,886.956
542,1689.6954,877.37115
543,1677.8877,876.012
544,1654.0914,863.18195
545,1692.5106,888.4886
546,1678.7144,878.8745
547,1679.5471,881.80493
548,1679.3503,878.5781
549,1695.1293,880.24286
550,1691.5883,883.4558
551,1686.5908,871.1648
552,1681.023,877.3694
553,1687.0054,873.32465
554,1678.4506,871.98364
555,1688.4114,876.01984
556,1683.3285,876.9711
557,1679.0216,874.2132
558,1669.8278,862.1255
559,1679.0563,871.4546
560,1679.222,873.0633
561,1681.3225,873.7016
562,1676.3239,872.31885
563,1673.2715,881.8201
564,1693.2034,874.15674
565,1680.5448,869.53357
566,1663.3256,874.71643
567,1686.503,875.3329
568,1674.1439,875.22314
569,1697.9276,881.2727
570,1679.0798,875.30383
571,1674.3292,868.4999
572,1674.6797,874.0729
573,1684.4073,878.98975
574,1669.4227,879.66766
575,1676.0264,874.3873
576,1675.1001,874.80334
577,1683.3251,876.3847
578,1688.822,873.5082
579,1674.5986,871.45856
580,1673.9006,870.65027
581,1694.8818,881.95844
582,1698.1577,877.5502
583,1689.9513,876.87054
584,1666.9965,869.3875
585,1689.7904,875.7383
586,1667.4421,863.79315
587,1700.5654,884.7406
588,1685.3992,874.4109
589,1669.0515,874.9391
590,1682.9747,872.98065
591,1670.7699,873.1875
592,1661.23,858.6295
593,1692.8066,885.0165
594,1690.2643,877.609
595,1676.4893,873.2806
596,1687.0027,876.2062
597,1683.9568,882.6033
598,1683.3785,874.1481
599,1685.1198,872.23206
600,1682.4879,880.48676
601,1698.5676,876.2132
602,1680.1407,869.027
603,1694.0696,878.4724
604,1678.7225,870.06177
605,1679.4678,882.5893
606,1684.1953,870.5579
607,1690.9897,879.09204
608,1691.1416,882.369
609,1675.6764,861.60834
610,1694.497,876.85376
611,1687.9446,876.40283
612,1680.835,875.1376
613,1691.2634,877.5915
614,1685.6676,879.4078
615,1686.4457,876.0276
616,1690.0402,876.1182
617,1678.6593,874.1214
618,1674.7876,876.2467
619,1671.3965,870.7256
620,1684.5643,883.25433
621,1688.6823,875.71796
622,1669.0775,865.2043
623,1685.4835,878.4243
624,1687.2067,881.2424
625,1657.7858,869.20593
626,1677.2441,874.4282
627,1668.6107,871.72174
628,1682.8811,875.514
629,1675.01,873.8722
630,1677.2765,881.2085
631,1674.8086,871.0475
632,1693.9586,883.3358
633,1689.5891,879.95776
634,1683.7109,877.7321
635,1679.7695,873.0229
636,1680.7075,871.4935
637,1671.6274,865.16406
638,1664.6313,866.3355
639,1686.3024,879.04736
640,1689.4421,875.0279
641,1671.2736,860.1496
642,1681.5011,863.29144
643,1684.2076,880.311
644,1690.2848,883.29877
645,1687.4802,873.3318
646,1681.2014,871.7698
647,1674.0214,879.6977
648,1683.9418,875.3554
649,1682.6038,875.14325
650,1685.5652,872.8287
651,1682.9707,878.944
652,1662.2157,876.516
653,1682.5361,880.84265
654,1679.5049,880.9179
655,1691.4745,878.41064
656,1687.6438,874.01196
657,1683.895,873.12805
658,1680.993,876.0127
659,1690.8568,872.98804
660,1675.2886,867.5324
661,1677.5425,873.9645
662,1693.1068,872.99493
663,1677.5054,865.88635
664,1679.735,877.64056
665,1691.7711,871.55835
666,1675.2958,876.8121
667,1681.4395,872.3293
668,1692.0671,878.37256
669,1699.6361,877.33673
670,1688.4908,875.2238
671,1701.32,877.2657
672,1685.5657,873.397
673,1690.0037,880.0288
674,1693.8064,884.2683
675,1681.4454,876.40375
676,1687.432,884.694
677,1687.4492,881.42755
678,1670.4192,863.37537
679,1694.101,884.19403
680,1693.8005,879.8869
681,1685.8749,875.0779
682,1679.6201,875.2091
683,1683.343,876.77
684,1672.6061,877.7005
685,1695.3708,889.76074
686,1692.3275,881.6324
687,1679.4171,877.9235
688,1669.6428,868.61115
689,1676.5526,874.7652
690,1678.0217,870.0401
691,1690.1124,881.1164
692,1693.6273,882.13043
693,1691.8374,872.9637
694,1674.4764,869.5264
695,1688.2902,884.71
696,1698.8868,880.4315
697,1687.2521,876.14777
698,1679.1206,877.84973
699,1679.8337,872.89484
700,1679.3774,877.5744
701,1678.4816,872.2184
702,1683.8218,879.1485
703,1681.5286,878.7475
704,1688.8405,875.6911
705,1701.2124,878.60284
706,1686.03,871.3283
707,1689.0062,877.1556
708,1685.513,877.00104
709,1683.6288,875.2986
710,1683.214,868.66016
711,1683.0665,873.55493
712,1680.8848,884.1868
713,1685.9318,878.10333
714,1677.5417,874.96606
715,1697.0228,884.993
716,1678.5289,878.6671
717,1668.2706,865.7081
718,1675.4379,876.02783
719,1679.1123,875.13293
720,1683.2974,874.7156
721,1694.9985,880.1917
722,1685.0826,879.75854
723,1684.376,883.50726
724,1698.6097,878.72406
725,1705.4368,881.2471
726,1693.4756,878.6381
727,1687.823,878.35864
728,1682.7977,877.81775
729,1681.5059,872.14154
730,1682.305,885.813
731,1675.8972,878.4701
732,1677.3679,877.47705
733,1684.4982,881.9252
734,1681.8389,871.7512
735,1690.016,880.6892
736,1676.8547,863.29553
737,1692.017,876.2916
738,1688.7576,879.7604
739,1700.465,880.58875
740,1686.1279,876.01807
741,1683.5715,875.1766
742,1675.2849,873.9241
743,1680.8785,874.96954
744,1678.2665,874.4887
745,1687.6759,875.6899
746,1681.822,880.03326
747,1687.827,884.3522
748,1687.6244,870.2161
749,1687.0857,871.8378
750,1695.0769,870.1698
751,1689.3766,873.3362
752,1679.8853,877.30035
753,1669.3441,865.58356
754,1675.0125,873.83563
755,1682.3342,876.3675
756,1666.148,860.42456
757,1668.423,871.5067
758,1691.7216,875.5817
759,1680.328,876.39404
760,1662.9208,860.9336
761,1676.3517,872.705
762,1674.9028,875.379
763,1672.2416,862.95807
764,1666.9496,863.21606
765,1701.1721,882.9989
766,1684.6237,876.80804
767,1674.9053,870.6807
768,1683.4307,878.20715
769,1686.6907,878.8254
770,1681.5605,874.8615
771,1686.8668,876.2523
772,1683.758,877.5702
773,1692.9902,879.7717
774,1675.6819,871.3731
775,1694.475,878.8228
776,1687.5273,882.9515
777,1686.6978,881.8599
778,1686.3721,873.99097
779,1697.2057,881.2703
780,1685.31,869.94543
781,1681.7147,877.8225
782,1669.88,866.009
783,1688.6881,880.90186
784,1699.6586,884.3663
785,1684.887,869.0754
786,1687.0052,872.14923
787,1684.9094,877.444
788,1692.1372,878.1372
789,1696.4146,883.3237
790,1689.0109,877.70996
791,1685.2722,877.5187
792,1682.9698,873.8679
793,1679.2639,872.5787
794,1675.1577,870.9565
795,1692.7365,879.25305
796,1679.5114,871.5115
797,1683.7825,876.8605
798,1670.2722,867.88403
799,1678.3319,871.3713
800,1678.1315,866.0039
801,1684.9081,866.28876
802,1685.3292,870.3452
803,1695.1495,882.85547
804,1674.9832,863.0046
805,1670.9053,875.7377
806,1686.5051,882.97546
807,1669.3192,867.4731
808,1686.619,875.97504
809,1692.617,877.5389
810,1673.1011,868.1686
811,1688.7142,883.11523
812,1681.9207,873.4721
813,1688.0719,880.0274
814,1695.0438,883.56104
815,1694.7126,875.6289
816,1671.5131,868.8427
817,1688.7462,879.98706
818,1678.0952,871.7068
819,1684.1251,877.009
820,1686.9302,876.51587
821,1662.9747,860.0137
822,1695.0762,881.34314
823,1689.9585,881.7303
824,1674.519,874.6421
825,1670.5369,875.5676
826,1687.0336,877.4066
827,1674.64,874.0932
828,1685.7006,869.8945
829,1691.3401,878.9231
830,1669.0769,872.6592
831,1673.6896,866.8617
832,1681.0531,875.5241
833,1696.2025,879.15454
834,1689.4166,881.58826
835,1692.4006,879.4906
836,1694.6941,881.8732
837,1681.2896,881.28296
838,1684.2557,875.06836
839,1684.768,878.6018
840,1693.0482,883.35785
841,1677.0167,876.6177
842,1684.4302,877.24963
843,1685.8823,884.9005
844,1669.4727,874.131
845,1682.9814,877.0926
846,1673.7561,880.82086
847,1692.1814,884.73883
848,1690.1124,880.7883
849,1686.014,876.79407
850,1674.859,864.95026
851,1683.7932,872.61884
852,1699.7614,880.5624
853,1681.6006,874.7658
854,1681.4326,873.40735
855,1687.1644,882.0221
856,1697.318,883.77234
857,1677.4062,876.43854
858,1679.2582,878.57416
859,1691.526,880.01074
860,1668.2689,867.1966
861,1673.3705,870.00354
862,1677.8739,863.2423
863,1693.2998,881.29395
864,1692.4923,881.69855
865,1668.5564,865.6498
866,1675.927,873.3579
867,1690.8827,876.8638
868,1685.5455,870.1186
869,1688.3374,878.1608
870,1672.8127,871.6721
871,1693.3103,878.423
872,1669.6915,873.95715
873,1672.671,871.2415
874,1693.0726,875.914
875,1685.8208,874.6499
876,1693.4362,879.65967
877,1680.705,875.80005
878,1692.0831,877.61395
879,1691.2883,877.16125
880,1680.7233,876.329
881,1679.388,876.491
882,1683.0264,876.4751
883,1675.72,873.1598
884,1691.397,880.76666
885,1685.3427,873.699
886,1683.191,875.59906
887,1685.2628,874.8032
888,1686.758,877.2245
889,1683.8251,880.8969
890,1660.8314,861.04944
891,1688.1285,876.6184
892,1689.6947,878.32947
893,1681.9213,869.26904
894,1691.1552,879.0461
895,1677.3153,873.81555
896,1692.4368,881.65106
897,1683.596,874.1212
898,1694.2833,884.0795
899,1679.1437,872.70636
900,1681.6345,874.2473
901,1682.8425,875.2044
902,1686.2122,876.721
903,1690.9353,867.18243
904,1688.8529,879.77136
905,1694.1788,877.7916
906,1671.743,871.8989
907,1683.8385,872.78564
908,1687.3241,883.52856
909,1687.5806,878.1351
910,1680.8737,877.19635
911,1692.5413,878.2878
912,1687.3643,876.9211
913,1669.0485,864.0851
914,1684.7551,874.14075
915,1674.8838,868.86993
916,1678.4626,871.6425
917,1678.2284,872.7957
918,1699.0018,874.3739
919,1680.6759,874.45337
920,1684.7921,878.9091
921,1681.3538,878.20984
922,1691.7225,877.5388
923,1680.4359,875.2968
924,1699.2684,877.2263
925,1689.6128,876.4234
926,1677.2473,874.0014
927,1675.5651,875.2508
928,1680.586,882.4307
929,1689.462,885.14246
930,1676.7744,881.74896
931,1675.3656,877.0299
932,1693.0795,887.55597
933,1687.238,875.0974
934,1686.9088,876.9549
935,1664.5947,866.02277
936,1674.5299,872.9612
937,1672.117,866.3022
938,1681.7953,875.1355
939,1682.7588,878.6929
940,1676.5712,872.946
941,1677.8569,873.5458
942,1666.0789,865.96783
943,1685.7997,875.40845
944,1687.2031,885.24744
945,1674.9958,873.97925
946,1671.9756,874.1662
947,1674.2144,873.3707
948,1665.2638,863.8909
949,1689.4723,873.2613
950,1701.0883,880.1621
951,1666.6166,868.6883
952,1688.9496,877.063
953,1683.2616,879.77515
954,1685.2722,882.21356
955,1685.2317,879.408
956,1675.8704,881.66327
957,1678.3282,875.36835
958,1682.3584,875.60284
959,1684.7782,870.2769
960,1685.996,881.4865
961,1684.2668,871.24567
962,1675.3369,874.9392
963,1677.273,878.28973
964,1680.8369,874.2545
965,1693.3059,873.52094
966,1684.0103,868.5158
967,1677.8287,867.3723
968,1684.6155,874.4437
969,1682.1012,873.7885
970,1670.5249,871.9926
971,1679.1112,879.236
972,1679.4106,881.1856
973,1681.2916,870.1317
974,1670.1755,878.672
975,1679.189,870.2567
976,1676.3558,873.05396
977,1678.215,879.00214
978,1689.6265,875.6499
979,1660.5638,870.88495
980,1686.0542,879.3724
981,1692.3344,877.75574
982,1690.081,882.5132
983,1686.3625,880.8714
984,1679.9548,878.1297
985,1683.9971,872.59937
986,1678.2644,871.5561
987,1702.7498,880.7015
988,1686.5342,884.22736
989,1672.0293,871.4867
990,1671.9642,871.20544
991,1673.8505,871.54034
992,1688.7324,871.2569
993,1695.7646,877.22644
994,1677.2849,868.4736
995,1675.7855,872.7875
996,1671.6815,865.6848
997,1677.1505,874.19196
998,1672.1531,871.17664
999,1682.2787,878.45
